person,gender,popularity
Koko Maeda,F,2.067
Johanna Ray,F,1.766
Harry Cohen,M,1.38
Zoë Bell,F,5.737
Bob Weinstein,M,2.843
Harvey Weinstein,M,6.239
David Wasco,M,1.4
Scott Martin Gershin,M,4.501
Yohei Taneda,M,1.097
Christopher Allen Nelson,M,2.146
RZA,M,10.004
Bob Beher,NS,0.84
Debbie Zoller,F,0.6
Sandy Reynolds-Wasco,F,1.4
Mitsuhisa Ishikawa,M,0.98
Dino Dimuro,NS,0.6
Yoshihito Akatsuka,NS,0.632
John Hartigan,M,0.6
Ilona Herman,F,1.932
Ilona Herman,F,1.932
Frankie Chung,M,1.099
Steve Joyner,M,1.22
Erica Steinberg,F,5.249
Ken Lesco,M,0.7
Peter Bogdanovich,M,4.082
Catherine Marie Thomas,F,1.685
Kwame Parker,NS,1.4
E. Bennett Walsh,M,2.642
Mahiro Maeda,M,4.284
Gregory Nicotero,M,2.921
Gregory Nicotero,M,2.921
Joan Sobel,F,0.6
Daniel Bradford,M,0.741
Michiko Nishiwaki,F,10.195
Spencer Sano,NS,0.6
Noriko Watanabe,F,1.62
Howard Berger,M,2.664
Howard Berger,M,2.664
Jasmine Yuen Carrucan,NS,0.828
Minoru Nishida,M,0.6
Katsuhito Ishii,M,1.614
Mizuho Nishikubo,M,1.446
Shou Tajima,NS,0.6
Shou Tajima,NS,0.6
Katsuji Morishita,M,0.6
Nerses Gezalyan,NS,0.6
James Moriana,NS,0.6
Branden Spencer,NS,0.6
Jeffrey Wilhoit,NS,0.84
Cao Juiping,NS,0.694
Takashi Sasaki,NS,0.84
Jake McKinnon,M,1.686
Kazuto Nakazawa,M,2.398
Ian Kincaid,NS,0.84
Larry McConkey,NS,0.747
Ted Gidlow,M,0.6
Jerome Ro Brooks,M,0.652
Mary Saisselin,NS,0.6
Greg D'Auria,NS,0.6
Jake Garber,M,0.725
Scott Patton,NS,0.6
Scott Patton,NS,0.6
Glenn Cannon,NS,0.6
Monica Staggs,F,2.25
Mitsuo Iso,M,0.84
Motoki Ishida,NS,0.6
Kumiko Ogawa,NS,0.98
Helen Monaghan,NS,0.6
Tom Hartig,M,1.38
Frederick H. Stahly,M,0.658
Michael Hertlein,M,0.6
Wylie Stateman,M,2.076
Andrew Cooper,M,1.123
Kanani Wolf,NS,0.6
Hidefumi Hanatani,M,1.22
Lu Yo Lui,NS,0.6
Heba Thorisdottir,F,0.6
Peter Davidson,M,0.6
Gretchen Engel,NS,0.694
Katrina Siegmund,F,0.6
Peter Michael Sullivan,NS,0.6
Corey Pritchett,NS,0.621
Tommy Tom,NS,0.6
Keith Adams,M,1.094
Daniel Grant North,NS,0.6
Jay B. Richardson,NS,0.84
Derek Raser,NS,1.288
Douglas Dresser,NS,0.6
